method,ratio_missing_tail,ratio_included_anomaly,ratio_included_head,auprc,class_size_pred_error,auroc,tail_pred_acc,tail_pred_mcc,tail_pred_precision,tail_pred_recall
acs-trim_min-none,0.0,26.923076923076923,92.37288135593221,68.75,0.88,99.47698744769875,92.44629219174385,0.26546887815281006,0.07627118644067797,1.0
acs-trim_min-mode,0.0,19.230769230769234,74.28571428571429,68.75,0.21,99.47698744769875,98.19819815456867,0.5024744509121692,0.2571428571428571,1.0
acs-trim_min-mean,0.0,13.076923076923078,65.38461538461539,73.68421052631578,0.21,99.6513249651325,98.82189882919192,0.5848505870776064,0.34615384615384615,1.0
acs-truncate_min-none,0.0,29.230769230769234,95.98214285714286,67.3076923076923,0.96,99.40725244072523,85.10048538446426,0.18480959814696982,0.04017857142857143,1.0
acs-truncate_min-mode,0.0,21.53846153846154,76.92307692307693,67.3076923076923,0.53,99.40725244072523,97.92099799960852,0.47533295971786166,0.23076923076923078,1.0
acs-truncate_min-mean,0.0,13.076923076923078,65.38461538461539,69.56521739130434,0.53,99.5118549511855,98.82189882919192,0.5848505870776064,0.34615384615384615,1.0
acs-half_min-none,0.0,28.46153846153846,95.63106796116504,75.0,0.84,99.68619246861925,86.34788691997528,0.1941323530901273,0.043689320388349516,1.0
acs-half_min-mode,0.0,15.384615384615385,70.0,75.0,0.06,99.68619246861925,98.54469858109951,0.5436972453127471,0.3,1.0
acs-half_min-mean,0.0,11.538461538461538,62.5,76.47058823529412,0.07,99.721059972106,98.96049899980426,0.6091612314139341,0.375,1.0
lof,0.0,67.6923076923077,95.85253456221197,79.7310405643739,1.0,99.75205330853866,85.58558523654938,0.18830508471193488,0.041474654377880185,1.0
lof_norm,0.0,63.07692307692307,95.85253456221197,82.81508614841948,1.0,99.86827832016118,85.58558523654938,0.18830508471193488,0.041474654377880185,1.0
if,11.11111111111111,30.0,92.5925925925926,33.84021142819514,1.0,96.74569967456996,93.00069287419319,0.24508053148637904,0.07407407407407407,0.8888888888888888
if_norm,0.0,30.0,91.96428571428571,46.270231575772435,1.0,99.30264993026499,92.86209270358086,0.2731031412527216,0.08035714285714286,1.0
ocsvm,0.0,69.23076923076923,98.7551867219917,5.150448646591444,1.0,94.48318611498527,50.51974952220917,0.07905762777131806,0.012448132780082987,1.0
ocsvm_norm,0.0,69.23076923076923,98.77216916780355,34.28639475639177,1.0,97.72973810630714,49.82674717903137,0.0779693414543846,0.01227830832196453,1.0
dbscan,0.0,100.0,99.37629937629939,50.311850311850314,14.0,50.0,0.6237030029296875,0.0,0.006237006237006237,1.0
dbscan_norm,0.0,17.692307692307693,73.52941176470588,63.23529411764706,0.24,99.12831241283125,98.26749823987484,0.5099912408218291,0.2647058823529412,1.0
dbscan_elbow,0.0,100.0,99.37629937629939,50.311850311850314,0.99,50.0,0.6237030029296875,0.0,0.006237006237006237,1.0
dbscan_elbow_norm,0.0,100.0,99.37629937629939,50.311850311850314,0.99,50.0,0.6237030029296875,0.0,0.006237006237006237,1.0
kmeans,66.66666666666666,62.30769230769231,99.66517857142857,0.3753109221859222,4.54,31.438865643886565,37.6992404460907,-0.04696205661516482,0.0033482142857142855,0.3333333333333333
kmeans_norm,66.66666666666666,62.30769230769231,99.66517857142857,0.3753109221859222,4.54,31.438865643886565,37.6992404460907,-0.04696205661516482,0.0033482142857142855,0.3333333333333333
gmm,0.0,100.0,99.37629937629939,50.311850311850314,14.0,50.0,0.6237030029296875,0.0,0.006237006237006237,1.0
gmm_norm,0.0,100.0,99.37629937629939,50.311850311850314,14.0,50.0,0.6237030029296875,0.0,0.006237006237006237,1.0
kde,0.0,100.0,99.37543372657876,50.312283136710626,1.0,50.069735006973495,0.7623016834259033,0.002951410965367012,0.006245662734212352,1.0
kde_norm,0.0,51.53846153846153,97.73299748110831,53.57169626593725,1.0,98.32248566558191,73.11157286167145,0.1285929821340157,0.022670025188916875,1.0
affprop,33.33333333333333,34.61538461538461,97.1563981042654,41.506384454777326,0.82,83.51541918487526,85.58558523654938,0.11669171818326014,0.02843601895734597,0.6666666666666666
affprop_norm,55.55555555555556,31.538461538461537,98.0,12.268019295622056,1.03,60.952270261893695,86.07068657875061,0.0701233809745886,0.02,0.4444444444444444
knnod,0.0,53.07692307692308,93.79310344827586,96.43874643874643,1.0,99.96900666356734,90.57519063353539,0.23702820310358166,0.06206896551724138,1.0
knnod_norm,0.0,43.84615384615385,93.79310344827586,98.82716049382717,1.0,99.99225166589184,90.57519063353539,0.23702820310358166,0.06206896551724138,1.0
