method,ratio_missing_tail,ratio_included_anomaly,ratio_included_head,auroc,class_size_pred_error,tail_pred_acc
lof,74.54545454545455,61.111111111111114,92.17877094972067,47.515577568301644,1.0,82.73260742425919
scs_symmin,0.0,7.4074074074074066,64.96815286624204,100.0,0.05,91.45012572407722
scs_indep,1.8181818181818181,12.037037037037036,75.89285714285714,98.70746125579166,0.08,85.66638678312302
if,21.818181818181817,7.4074074074074066,53.76344086021505,2.3965489694839426,1.0,94.80301775038242
ocsvm,1.8181818181818181,53.70370370370371,90.95477386934674,9.266656015337912,1.0,54.400670528411865
dbscan,0.0,100.0,95.38977367979882,50.0,14.0,4.610228538513184
dbscan_tunned,100.0,0.0,0.0,50.0,0.0,95.389773696661
dbscan_tunned_elbow,0.0,7.4074074074074066,64.96815286624204,100.0,0.0,91.45012572407722
dbscan_adaptive,100.0,0.0,0.0,50.0,0.43,95.389773696661
dbscan_adaptive_elbow,10.909090909090908,12.037037037037036,77.6255707762557,90.08467806358843,0.43,85.24727523326874
kmeans,100.0,26.851851851851855,100.0,19.244288224956062,4.96,73.09304177761078
gmm,0.0,100.0,95.38977367979882,50.0,14.0,4.610228538513184
kde,100.0,0.0,0.0,50.08787346221442,1.0,95.389773696661
affprop,0.0,25.925925925925924,84.28571428571429,98.83767374980027,0.61,75.27242302894592
