method,ratio_missing_tail,ratio_included_anomaly,ratio_included_head,auroc,class_size_pred_error,tail_pred_acc
acs-max_step-none,0.0,6.748466257668712,39.130434782608695,99.54494423381308,0.79,99.53952417708933
acs-max_step-mode,14.285714285714285,0.0,0.0,99.13129900246622,0.12,99.89767203805968
acs-double_max_step-none,0.0,6.748466257668712,46.15384615384615,99.39586630838886,0.79,99.38603225164115
acs-double_max_step-mode,28.57142857142857,0.0,0.0,98.26443847314758,0.12,99.79534407611936
scs_symmin,32.142857142857146,0.0,0.0,88.49707365553796,0.43,99.76976208854467
scs_indep,42.857142857142854,0.0,0.0,76.59890676188023,0.62,99.69301612582058
lof,28.57142857142857,55.828220858895705,96.59284497444634,76.17697942356536,1.0,85.29035598039627
if,3.571428571428571,15.950920245398773,93.21608040201005,98.65185703242905,1.0,90.48349931836128
ocsvm,3.571428571428571,52.14723926380368,98.61821903787103,85.81367099790187,1.0,50.67792236804962
dbscan,0.0,100.0,99.28370427219238,50.0,11.0,0.7162928581237793
dbscan_adaptive,100.0,0.0,0.0,50.0,2.19,99.28370425477624
dbscan_adaptive_elbow,42.857142857142854,0.0,0.0,73.70154967423713,2.19,99.69301612582058
kmeans,28.57142857142857,46.012269938650306,99.00299102691925,54.89196451577282,3.67,48.98951053619385
gmm,0.0,100.0,99.28370427219238,50.0,11.0,0.7162928581237793
kde,0.0,34.96932515337423,97.64309764309765,92.82953583391614,1.0,70.3248918056488
affprop,0.0,19.018404907975462,94.65648854961832,100.0,0.81,87.31133341789246
