method,ratio_missing_tail,ratio_included_anomaly,ratio_included_head,auprc,class_size_pred_error,auroc,tail_pred_acc,tail_pred_mcc,tail_pred_precision,tail_pred_recall
acs-trim_min-none,0.0,10.891089108910892,94.39999999999999,68.54637550963997,0.78,99.56090366695716,88.99766877293587,0.22315514065247208,0.056,1.0
acs-trim_min-mode,0.0,1.4851485148514851,9.67741935483871,68.89400921658986,0.13,99.93338137695247,99.930069927359,0.9500473832532902,0.9032258064516129,1.0
acs-trim_min-mean,10.714285714285714,0.0,0.0,99.0254908662266,0.2,99.99329623919017,99.930069927359,0.944578798911029,1.0,0.8928571428571429
acs-truncate_min-none,0.0,10.891089108910892,94.71698113207547,69.43923265249711,0.92,99.56090366695716,88.29836845397949,0.21588788945909268,0.052830188679245285,1.0
acs-truncate_min-mode,3.571428571428571,0.9900990099009901,6.896551724137931,69.43923265249711,0.47,99.56090366695716,99.930069927359,0.9471642708961598,0.9310344827586207,0.9642857142857143
acs-truncate_min-mean,10.714285714285714,0.9900990099009901,7.4074074074074066,62.63724835998515,0.43,99.5558758463498,99.88344988087192,0.908656741453479,0.9259259259259259,0.8928571428571429
acs-half_min-none,3.571428571428571,8.415841584158416,93.6768149882904,68.54637550963997,0.7,99.56090366695717,90.65268039703369,0.2341234018704246,0.06323185011709602,0.9642857142857143
acs-half_min-mode,7.142857142857142,0.49504950495049505,3.7037037037037033,77.16504758871937,0.2,97.60466246564323,99.930069927359,0.9452610329707046,0.9629629629629629,0.9285714285714286
acs-half_min-mean,7.142857142857142,0.49504950495049505,3.7037037037037033,93.10879766555094,0.32,99.20811825434069,99.930069927359,0.9452610329707046,0.9629629629629629,0.9285714285714286
lof,7.142857142857142,54.95049504950495,95.96273291925466,80.49388945588244,1.0,98.36595830260777,85.54778546094894,0.1766492362028312,0.040372670807453416,0.9285714285714286
lof_norm,14.285714285714285,51.48514851485149,96.27329192546584,74.77491157105425,1.0,88.92371120198432,85.4545459151268,0.16044045784568217,0.037267080745341616,0.8571428571428571
if,0.0,7.425742574257425,90.96774193548387,91.30582420525731,1.0,99.9120131393712,93.42657327651978,0.2904243206213732,0.09032258064516129,1.0
if_norm,0.0,7.425742574257425,91.13924050632912,93.24521465932396,1.0,99.94720788362271,93.2867132127285,0.2874370076782593,0.08860759493670886,1.0
ocsvm,3.571428571428571,54.95049504950495,98.74184529356943,57.56427863015756,1.0,95.27803847958705,50.582751631736755,0.0752262753473422,0.012581547064305684,0.9642857142857143
ocsvm_norm,0.0,52.97029702970298,98.69281045751634,74.92078628296,1.0,97.84222698934101,50.72261095046997,0.08116703810212869,0.013071895424836602,1.0
dbscan,0.0,100.0,99.34731934731936,50.32634032634032,11.0,50.0,0.6526827812194824,0.0,0.006526806526806527,1.0
dbscan_norm,0.0,1.4851485148514851,9.67741935483871,95.16129032258065,1.37,99.96480525574847,99.930069927359,0.9500473832532902,0.9032258064516129,1.0
dbscan_elbow,0.0,100.0,99.34731934731936,50.32634032634032,1.0,50.0,0.6526827812194824,0.0,0.006526806526806527,1.0
dbscan_elbow_norm,0.0,100.0,99.34731934731936,50.32634032634032,1.0,50.0,0.6526827812194824,0.0,0.006526806526806527,1.0
kmeans,28.57142857142857,33.16831683168317,98.60821155184412,30.133869233769982,3.34,74.63464503586512,66.78321659564972,0.065141362032408,0.013917884481558803,0.7142857142857143
kmeans_norm,28.57142857142857,33.16831683168317,98.60821155184412,30.133869233769982,3.34,74.63464503586512,66.78321659564972,0.065141362032408,0.013917884481558803,0.7142857142857143
gmm,0.0,100.0,99.34731934731936,50.32634032634032,11.0,50.0,0.6526827812194824,0.0,0.006526806526806527,1.0
gmm_norm,0.0,100.0,99.34731934731936,50.32634032634032,11.0,50.0,0.6526827812194824,0.0,0.006526806526806527,1.0
kde,0.0,100.0,99.34640522875817,50.326797385620914,1.0,50.07038948850304,0.792539119720459,0.0030333546326132238,0.006535947712418301,1.0
kde_norm,0.0,39.603960396039604,98.12458137977227,69.90220197041282,1.0,98.50589930951263,65.8508151769638,0.11094011770127345,0.018754186202277295,1.0
affprop,0.0,13.861386138613863,95.90643274853801,100.0,0.85,99.99999999999999,84.7086250782013,0.1861045980597638,0.04093567251461988,1.0
affprop_norm,0.0,12.871287128712872,95.46925566343042,45.16129032258064,0.87,99.92961051149695,86.24708652496338,0.19757381767339782,0.045307443365695796,1.0
knnod,0.0,28.71287128712871,93.47319347319348,99.46980628384567,1.0,99.9966481195951,90.65268039703369,0.24316079112916658,0.06526806526806526,1.0
knnod_norm,0.0,28.217821782178216,93.47319347319348,98.94589781345941,1.0,99.99329623919019,90.65268039703369,0.24316079112916658,0.06526806526806526,1.0
