method,num_missing_tail,num_included_anomaly,tail_pred_acc,class_size_pred_error,auroc
lof,11,89,0.8583743870258331,15.000000953674316,0.7903547439126785
scs_symmin,0,3,0.9981527093332261,0.9329323768615723,0.998320738874895
scs_indep,0,0,1.0,0.0661928653717041,1.0
