method,ratio_missing_tail,ratio_included_anomaly,ratio_included_head,auroc,class_size_pred_error,tail_pred_acc
datamax,100.0,2.0,100.0,99.42937324602433,1.0,96.3029757142067
data_double_max,0.0,100.0,96.35369188696444,99.42937324602433,1.0,4.688906669616699
data_hard_max,92.5,2.0,25.0,99.42937324602433,1.0,96.57348953187466
acs-trim_min-none,12.5,10.0,72.44094488188976,96.05940130963518,0.8,91.2533812224865
acs-trim_min-mode,2.5,8.0,72.91666666666666,98.01449953227316,0.21,90.44183939695358
acs-trim_min-mean,17.5,2.0,62.5,95.20579981290926,0.28,94.40937787294388
acs-truncate_min-none,12.5,22.0,83.17307692307693,96.01847521047709,0.92,83.94950479269028
acs-truncate_min-mode,0.0,6.0,72.22222222222221,99.27502338634238,0.49,90.62218219041824
acs-truncate_min-mean,12.5,10.0,64.28571428571429,96.10617399438726,0.51,93.86834986507893
acs-half_min-none,12.5,12.0,72.65625,96.09681945743685,0.73,91.16320982575417
acs-half_min-mode,30.0,2.0,66.26506024096386,90.12511693171189,0.36,93.95852126181126
acs-half_min-mean,30.0,2.0,66.26506024096386,91.53414405986902,0.45,93.95852126181126
acs-ruled_max_step-none,27.500000000000004,8.0,78.51851851851852,93.01566884939196,0.73,89.44995477795601
acs-ruled_max_step-mode,47.5,6.0,83.59375,84.26333021515435,0.42,88.6384129524231
acs-ruled_max_step-mean,47.5,0.0,72.0,85.89569691300281,0.38,93.4174932539463
acs-max_step-none,32.5,6.0,70.96774193548387,91.84518241347052,0.72,92.87646561861038
acs-double_max_step-none,27.500000000000004,8.0,78.51851851851852,93.01566884939196,0.73,89.44995477795601
scs_symmin,40.0,2.0,69.62025316455697,88.95696913002806,0.57,93.59783604741096
scs_indep,47.5,4.0,76.13636363636364,87.50116931711881,0.78,92.24526584148407
lof,72.5,62.0,93.41317365269461,42.62862488306829,1.0,83.31830501556396
if,15.0,14.000000000000002,70.17543859649122,97.35500467726848,1.0,92.24526584148407
ocsvm,10.0,68.0,93.49005424954791,83.15247895229186,1.0,53.02073955535889
dbscan,0.0,100.0,96.39314697926059,50.0,11.0,3.606855869293213
dbscan_adaptive,100.0,0.0,0.0,50.0,2.71,96.39314711093903
dbscan_adaptive_elbow,77.5,0.0,0.0,76.59144059869037,2.71,97.20468893647194
kmeans,0.0,54.0,93.69085173501577,74.76847521047708,2.56,46.43823504447937
gmm,0.0,100.0,96.39314697926059,50.0,11.0,3.606855869293213
kde,0.0,74.0,93.86503067484662,93.40505144995323,1.0,44.815146923065186
affprop,0.0,4.0,66.94214876033058,100.0,0.45,92.69612282514572
