method,ratio_missing_tail,ratio_included_anomaly,ratio_included_head,auroc,class_size_pred_error,tail_pred_acc
acs-max_step-none,0.0,14.52513966480447,98.56262833675564,99.91000257135511,0.78,87.67967149615288
acs-max_step-mode,42.857142857142854,0.0,0.0,57.14836718950886,1.95,99.92299794685096
acs-double_max_step-none,0.0,14.52513966480447,98.57142857142858,99.91000257135511,0.78,87.60266974568367
acs-double_max_step-mode,28.57142857142857,0.0,0.0,71.43408147522315,1.22,99.94866529596038
acs-double_min_bin_count-none,42.857142857142854,15.083798882681565,99.26470588235294,58.77199426955148,3.75,86.06262803077698
acs-double_min_bin_count-mode,0.0,100.0,99.82032854209446,50.0,11.0,0.1796722412109375
acs-min_kde-none,14.285714285714285,16.201117318435752,98.91107078039929,88.12952282995997,2.93,85.98562628030777
acs-double_min_kde-none,14.285714285714285,15.64245810055866,98.95470383275261,91.21331227271058,2.22,85.39527654647827
scs_symmin,14.285714285714285,0.0,0.0,90.01946883150276,0.79,99.97433264798019
scs_indep,14.285714285714285,11.1731843575419,98.74476987447699,92.5155199647357,0.98,87.85934299230576
lof,0.0,58.659217877094974,98.80341880341881,99.65470374315835,1.0,85.16427129507065
if,14.285714285714285,17.877094972067038,97.10144927536231,96.72703228887339,1.0,94.81519497931004
ocsvm,14.285714285714285,63.128491620111724,99.69214982042072,77.95614002865223,1.0,50.10266900062561
dbscan,0.0,100.0,99.82032854209446,50.0,11.0,0.1796722412109375
dbscan_adaptive,100.0,0.0,0.0,50.0,2.32,99.82032853877172
dbscan_adaptive_elbow,14.285714285714285,11.1731843575419,98.74476987447699,90.07824266245454,2.32,87.85934299230576
kmeans,14.285714285714285,49.162011173184354,99.69924812030075,61.01458325680491,3.54,48.92197251319885
gmm,0.0,100.0,99.82032854209446,50.0,11.0,0.1796722412109375
kde,0.0,34.07821229050279,99.36651583710407,96.04745986849355,1.0,71.81724905967712
affprop,14.285714285714285,3.910614525139665,90.47619047619048,97.54068251111192,0.82,98.51129362359643
