method,ratio_missing_tail,ratio_included_anomaly,ratio_included_head,auroc,class_size_pred_error,tail_pred_acc
acs-max_step-none,0.0,24.69879518072289,99.26701570680628,99.98680042238648,0.43,75.0197634100914
acs-max_step-mode,57.14285714285714,10.843373493975903,99.36842105263159,66.9671141952029,1.87,87.45718002319336
acs-double_max_step-none,0.0,24.69879518072289,99.26701570680628,99.98680042238648,0.75,75.0197634100914
acs-double_max_step-mode,42.857142857142854,0.0,0.0,74.99811434605522,0.87,99.92094861809164
acs-double_min_bin_count-none,57.14285714285714,7.83132530120482,99.29906542056075,55.86061246040127,2.31,88.69565203785896
acs-double_min_bin_count-mode,100.0,10.240963855421686,100.0,31.30939809926082,9.37,87.40447908639908
acs-min_kde-none,14.285714285714285,21.686746987951807,98.99159663865547,84.67717604465228,1.56,84.45322811603546
acs-double_min_kde-none,14.285714285714285,17.46987951807229,98.88682745825604,84.60552119475034,1.47,85.92885434627533
scs_symmin,28.57142857142857,0.0,0.0,89.28571428571428,0.81,99.94729907484725
scs_indep,42.857142857142854,10.843373493975903,99.15966386554622,78.80524966058229,1.37,87.48353123664856
lof,0.0,60.8433734939759,98.7719298245614,100.0,1.0,85.1646900177002
if,14.285714285714285,15.66265060240964,97.68339768339769,98.14451651832856,1.0,93.30698251724243
ocsvm,14.285714285714285,60.24096385542169,99.68404423380727,87.2944637200181,1.0,50.09222626686096
dbscan,0.0,100.0,99.81554677206852,50.0,11.0,0.18445253372192383
dbscan_adaptive,100.0,0.0,0.0,50.0,4.0,99.81554676778615
dbscan_adaptive_elbow,71.42857142857143,10.843373493975903,99.57805907172997,57.17868456780811,4.0,87.43083029985428
kmeans,28.57142857142857,45.78313253012048,99.73656480505795,55.387313320259466,3.0,50.06587505340576
gmm,0.0,100.0,99.81554677206852,50.0,11.0,0.18445253372192383
kde,28.57142857142857,6.024096385542169,94.11764705882352,95.2179815960175,1.0,97.83926215022802
affprop,85.71428571428571,21.084337349397593,99.80392156862746,62.865816865288885,1.04,86.42951250076294
