method,ratio_missing_tail,ratio_included_anomaly,ratio_included_head,auroc,class_size_pred_error,tail_pred_acc
acs-max_step-none,0.0,13.076923076923078,84.78260869565217,99.11782446968935,0.91,98.63109858706594
acs-max_step-mode,85.71428571428571,0.0,0.0,19.061023424147983,4.83,99.78939979337156
acs-double_max_step-none,0.0,13.076923076923078,87.93103448275862,99.08263798130089,0.79,98.20989817380905
acs-double_max_step-mode,85.71428571428571,0.0,0.0,14.285714285714285,6.33,99.78939979337156
acs-double_min_bin_count-none,100.0,16.153846153846153,100.0,2.8551322006635163,6.13,87.43418753147125
acs-double_min_bin_count-mode,0.0,100.0,99.75429975429975,41.713581984517944,10.16,0.24570226669311523
acs-min_kde-none,28.57142857142857,35.38461538461539,99.48665297741273,60.274454609429995,2.89,65.91786444187164
acs-double_min_kde-none,28.57142857142857,35.38461538461539,99.48665297741273,60.27445460942998,2.91,65.91786444187164
scs_symmin,28.57142857142857,0.0,0.0,80.97918970543883,0.65,99.92979993112385
scs_indep,28.57142857142857,0.0,0.0,76.20388056700513,0.9,99.92979993112385
lof,0.0,63.84615384615384,98.36448598130842,100.0,1.0,85.22288501262665
if,0.0,13.846153846153847,86.79245283018868,99.72856137528903,1.0,98.38539846241474
ocsvm,0.0,55.38461538461539,99.50911640953717,98.82376595958581,1.0,50.193050503730774
dbscan,0.0,100.0,99.75429975429975,50.0,11.0,0.24570226669311523
dbscan_adaptive,100.0,0.0,0.0,50.0,3.66,99.75429975893348
dbscan_adaptive_elbow,57.14285714285714,0.0,0.0,83.30652458027545,3.66,99.8595998622477
kmeans,42.857142857142854,65.38461538461539,99.78902953586498,50.060319694380205,3.0,33.48543643951416
gmm,0.0,100.0,99.75429975429975,50.0,11.0,0.24570226669311523
kde,0.0,8.461538461538462,90.41095890410958,99.89946717603297,1.0,97.68339768052101
affprop,57.14285714285714,3.076923076923077,97.98657718120806,67.6460239268121,0.97,94.73499469459057
