method,ratio_missing_tail,ratio_included_anomaly,ratio_included_head,auprc,class_size_pred_error,auroc,tail_pred_acc,tail_pred_mcc,tail_pred_precision,tail_pred_recall
acs-trim_min-none,0.0,24.324324324324326,95.96412556053812,78.125,0.91,99.78527607361964,86.9432583451271,0.18724345567991746,0.04035874439461883,1.0
acs-trim_min-mode,0.0,6.756756756756757,59.09090909090909,78.125,0.27,99.78527607361963,99.20683344826102,0.6370464824947201,0.4090909090909091,1.0
acs-trim_min-mean,0.0,5.405405405405405,47.05882352941176,82.14285714285714,0.26,99.84662576687117,99.5118975173682,0.7258191405277251,0.5294117647058824,1.0
acs-truncate_min-none,0.0,24.324324324324326,95.71428571428572,76.47058823529412,0.97,99.75460122699387,87.73642480373383,0.193835768101808,0.04285714285714286,1.0
acs-truncate_min-mode,0.0,14.18918918918919,87.5,76.47058823529412,0.57,99.75460122699387,96.15619294345379,0.3466535902835015,0.125,1.0
acs-truncate_min-mean,0.0,6.081081081081082,50.0,80.0,0.56,99.81595092024538,99.45088466629386,0.70515194377076,0.5,1.0
acs-half_min-none,0.0,23.64864864864865,95.33678756476684,84.61538461538461,0.87,99.87730061349693,88.77364248037338,0.20339156803298172,0.046632124352331605,1.0
acs-half_min-mode,0.0,6.756756756756757,52.63157894736842,84.61538461538461,0.13,99.87730061349693,99.38987186178565,0.6861327658878618,0.47368421052631576,1.0
acs-half_min-mean,0.0,3.3783783783783785,35.714285714285715,87.5,0.13,99.9079754601227,99.69493593089283,0.8005530516032031,0.6428571428571429,1.0
lof,0.0,61.48648648648649,96.34146341463415,97.8787878787879,1.0,99.986366734833,85.5399638414383,0.17682165746467834,0.036585365853658534,1.0
lof_norm,0.0,58.78378378378378,96.34146341463415,71.99158865825532,1.0,99.79550102249489,85.5399638414383,0.17682165746467834,0.036585365853658534,1.0
if,11.11111111111111,14.864864864864865,83.6734693877551,56.735290592319906,1.0,96.12133605998636,97.43746183812618,0.37479969760616455,0.16326530612244897,0.8888888888888888
if_norm,11.11111111111111,15.54054054054054,80.48780487804879,49.49738533071867,1.0,99.34560327198363,97.92556446045637,0.411032639880512,0.1951219512195122,0.8888888888888888
ocsvm,11.11111111111111,58.78378378378378,99.02439024390245,17.878774467761943,1.0,87.58009543285615,50.3965824842453,0.05774870473423758,0.00975609756097561,0.8888888888888888
ocsvm_norm,0.0,59.45945945945946,98.92729439809297,65.1956467642742,1.0,99.32515337423312,49.359363317489624,0.07255902955591305,0.010727056019070322,1.0
dbscan,0.0,100.0,99.45088468578402,50.27455765710799,14.0,50.0,0.5491137504577637,0.0,0.005491153142159854,1.0
dbscan_norm,0.0,9.45945945945946,60.86956521739131,69.56521739130434,0.14,99.57055214723927,99.14582064375281,0.6228510669390315,0.391304347826087,1.0
dbscan_elbow,0.0,100.0,99.45088468578402,50.27455765710799,0.99,50.0,0.5491137504577637,0.0,0.005491153142159854,1.0
dbscan_elbow_norm,0.0,100.0,99.45088468578402,50.27455765710799,0.99,50.0,0.5491137504577637,0.0,0.005491153142159854,1.0
kmeans,55.55555555555556,49.32432432432432,99.5049504950495,0.4000567842019101,5.19,43.89229720518063,50.64063370227814,-0.007214259717365386,0.0049504950495049506,0.4444444444444444
kmeans_norm,55.55555555555556,49.32432432432432,99.5049504950495,0.4000567842019101,5.19,43.89229720518063,50.64063370227814,-0.007214259717365386,0.0049504950495049506,0.4444444444444444
gmm,0.0,100.0,99.45088468578402,50.27455765710799,14.0,50.0,0.5491137504577637,0.0,0.005491153142159854,1.0
gmm_norm,0.0,100.0,99.45088468578402,50.27455765710799,14.0,50.0,0.5491137504577637,0.0,0.005491153142159854,1.0
kde,0.0,100.0,99.45021380574221,50.27658266748617,1.0,50.3680981595092,0.6711423397064209,0.002597276048926778,0.005497861942577886,1.0
kde_norm,0.0,18.243243243243242,92.6829268292683,77.44724724020391,1.0,99.80913428766189,93.04453954100609,0.26087021579657216,0.07317073170731707,1.0
affprop,100.0,12.837837837837837,100.0,0.5388784004926558,1.2,45.821404226312204,86.2721174955368,-0.02895022064407627,0.0,0.0
affprop_norm,88.88888888888889,21.62162162162162,99.60474308300395,11.663559198162346,1.09,59.23994546693934,84.13666933774948,-0.008895364448086094,0.003952569169960474,0.1111111111111111
