method,ratio_missing_tail,ratio_included_anomaly,ratio_included_head,auroc,class_size_pred_error,tail_pred_acc
acs-trim_min-none,10.416666666666668,19.0,89.53771289537713,95.65700705305122,0.81,83.21332186460495
acs-trim_min-mode,0.0,13.0,83.72881355932203,99.9008164673413,0.15,88.88388872146606
acs-trim_min-mean,39.58333333333333,10.0,84.40860215053763,95.12994480220792,0.25,92.07920804619789
acs-truncate_min-none,10.416666666666668,13.0,84.80565371024736,95.66898574057038,0.93,88.97389769554138
acs-truncate_min-mode,0.0,13.0,83.83838383838383,99.71634467954615,0.5,88.79387974739075
acs-truncate_min-mean,43.75,13.0,89.1566265060241,94.86928856179087,0.54,89.0639066696167
acs-half_min-none,10.416666666666668,25.0,90.6318082788671,95.66467341306347,0.74,81.05310499668121
acs-half_min-mode,52.083333333333336,6.0,83.68794326241135,48.81075590309722,1.01,93.56435611844063
acs-half_min-mean,54.166666666666664,6.0,83.7037037037037,70.65700705305122,0.92,93.74437406659126
acs-ruled_max_step-none,0.0,25.0,89.30957683741649,99.58601655933762,0.76,81.95319473743439
acs-ruled_max_step-mode,14.583333333333334,13.0,84.2911877394636,83.98497393437596,0.73,89.78397846221924
acs-ruled_max_step-mean,54.166666666666664,6.0,83.5820895522388,78.30132628028213,0.81,93.78937892615795
acs-max_step-none,8.333333333333332,25.0,90.11235955056179,93.04277828886843,0.86,81.77317678928375
acs-double_max_step-none,0.0,25.0,89.30957683741649,99.58601655933762,0.76,81.95319473743439
scs_symmin,54.166666666666664,13.0,90.9090909090909,60.05730604109169,1.07,88.92889320850372
scs_indep,54.166666666666664,11.0,88.48167539267016,56.507781355412455,1.17,91.22412204742432
lof,93.75,63.0,99.10179640718563,26.057957681692734,1.0,83.07830840349197
if,37.5,15.0,89.01098901098901,92.11898190739036,1.0,88.25382515788078
ocsvm,41.66666666666667,69.0,97.47520288548242,52.32865685372585,1.0,50.45004487037659
dbscan,0.0,100.0,97.83978397839785,50.0,11.0,2.160215377807617
dbscan_adaptive,100.0,0.0,0.0,50.0,1.9,97.83978406339884
dbscan_adaptive_elbow,54.166666666666664,19.0,92.81045751633987,57.06550904630481,1.9,86.04860454797745
kmeans,56.25,41.0,97.953216374269,54.18439512419504,3.31,53.55535447597504
gmm,0.0,100.0,97.83978397839785,50.0,11.0,2.160215377807617
kde,0.0,72.0,96.31053036126058,69.2928741183686,1.0,43.609362840652466
affprop,0.0,16.0,84.15841584158416,99.66268015946028,0.64,88.52385208010674
