test_data_name,image_auroc,pixel_auroc
bottle,99.68253968253968,98.4360781780561
cable,98.93178410794603,97.13169958372013
capsule,87.63462305544476,98.0469181138932
carpet,99.43820224719101,98.8235230343377
grid,86.29908103592314,85.06011799477412
hazelnut,99.96428571428572,98.38151570273742
leather,100.0,99.26723957039073
metal_nut,99.75562072336265,80.8971720696707
pill,88.43426077468631,96.31810935372836
screw,70.91617134658742,97.48346020135038
tile,98.989898989899,95.14051479727597
toothbrush,90.83333333333334,95.9562374343192
transistor,95.49999999999999,81.45859998560046
wood,98.94736842105263,94.70061698858623
zipper,97.05882352941177,98.19895690784858
