method,ratio_missing_tail,ratio_included_anomaly,ratio_included_head,auprc,class_size_pred_error,auroc,tail_pred_acc,tail_pred_mcc,tail_pred_precision,tail_pred_recall
acs-trim_min-none,0.0,21.70818505338078,94.16058394160584,82.99628259666851,0.89,99.97797582462611,86.8929073214531,0.22511699443371122,0.058394160583941604,1.0
acs-trim_min-mode,0.0,0.7117437722419928,4.761904761904762,64.52678571428571,0.15,99.95902479000205,99.95935785409529,0.9757001139108952,0.9523809523809523,1.0
acs-trim_min-mean,20.0,0.3558718861209964,3.0303030303030303,84.95326344102713,0.16,99.97951239500102,99.8171103419736,0.8799147199680875,0.9696969696969697,0.8
acs-truncate_min-none,0.0,4.6263345195729535,35.483870967741936,81.90556254433605,0.96,99.97746363450113,99.55293638631701,0.8014071201291475,0.6451612903225806,1.0
acs-truncate_min-mode,2.5,0.3558718861209964,2.5,73.12576219512195,0.5,99.97951239500102,99.95935785409529,0.9747951239500102,0.975,0.975
acs-truncate_min-mean,35.0,0.3558718861209964,3.7037037037037033,84.92714391781533,0.5,99.97951239500102,99.69518389552832,0.7898542930553634,0.9629629629629629,0.65
acs-half_min-none,0.0,32.74021352313167,96.33363886342805,82.99628259666851,0.85,99.9779758246261,78.64255160093307,0.1696143543487048,0.03666361136571952,1.0
acs-half_min-mode,15.0,0.0,0.0,85.11284675090205,0.14,85.00000000000001,99.87807356519625,0.9213883084663678,1.0,0.85
acs-half_min-mean,57.49999999999999,0.0,0.0,85.2669850581183,0.15,93.72567096906373,99.53261530026793,0.6503896748877956,1.0,0.425
lof,100.0,59.7864768683274,100.0,0.45135890787383226,1.0,16.30096291743495,84.16988402605057,-0.03805448043315149,0.0,0.0
lof_norm,100.0,62.63345195729537,100.0,0.4577184424852879,1.0,17.46721983200164,84.16988402605057,-0.03805448043315149,0.0,0.0
if,15.0,18.505338078291814,89.57055214723927,41.99743190531432,1.0,97.86826469985658,93.94432008266449,0.2852704469957696,0.10429447852760736,0.85
if_norm,12.5,8.185053380782918,71.54471544715447,83.8034146362449,1.0,99.14822782216758,98.11014030128717,0.49291019482251175,0.2845528455284553,0.875
ocsvm,12.5,50.5338078291815,98.57781389678992,11.588793566288826,1.0,79.62456463839376,50.59947073459625,0.06787645889952343,0.014221861032100772,0.875
ocsvm_norm,7.5,41.281138790035584,98.5253088880032,58.49385687160885,1.0,89.54824830977259,49.705344438552856,0.07517769962319838,0.014746911119968115,0.925
dbscan,0.0,100.0,99.18715708189393,50.40642145905304,11.0,50.0,0.812840461730957,0.0,0.00812842918106076,1.0
dbscan_norm,100.0,0.3558718861209964,100.0,0.406421459053038,0.0,49.98975619750051,99.16683603078127,-0.0012906041000268625,0.0,0.0
dbscan_elbow,0.0,100.0,99.18715708189393,50.40642145905304,1.0,50.0,0.812840461730957,0.0,0.00812842918106076,1.0
dbscan_elbow_norm,0.0,100.0,99.18715708189393,50.40642145905304,1.0,50.0,0.812840461730957,0.0,0.00812842918106076,1.0
kmeans,60.0,48.04270462633452,99.43977591036415,0.52396492024975,3.68,37.03544355664823,41.800445318222046,-0.03308672302109928,0.0056022408963585435,0.4
kmeans_norm,60.0,48.04270462633452,99.43977591036415,0.52396492024975,3.68,37.03544355664823,41.800445318222046,-0.03308672302109928,0.0056022408963585435,0.4
gmm,0.0,100.0,99.18715708189393,50.40642145905304,11.0,50.0,0.812840461730957,0.0,0.00812842918106076,1.0
gmm_norm,0.0,100.0,99.18715708189393,50.40642145905304,11.0,50.0,0.812840461730957,0.0,0.00812842918106076,1.0
kde,100.0,0.0,0.0,50.40741495212875,1.0,50.12292562999385,99.18715711683035,0.0,0.0,0.0
kde_norm,20.0,8.540925266903916,80.72289156626506,73.58668777965953,1.0,94.259885269412,97.1144076436758,0.38421983891549644,0.1927710843373494,0.8
affprop,0.0,20.99644128113879,94.51303155006858,100.0,0.75,100.0,85.9987810254097,0.2170813254720452,0.05486968449931413,1.0
affprop_norm,0.0,25.26690391459075,94.43671766342142,100.0,0.75,100.0,86.20199114084244,0.2188462809604814,0.055632823365785816,1.0
knnod,0.0,39.14590747330961,91.869918699187,47.776767509896615,1.0,99.04118008604794,90.81487506628036,0.27161007821092037,0.08130081300813008,1.0
knnod_norm,10.0,27.402135231316727,92.66802443991853,40.2926537925645,1.0,97.04261421839787,90.67262783646584,0.2417116962052243,0.07331975560081466,0.9
