method,ratio_missing_tail,ratio_included_anomaly,ratio_included_head,auprc,class_size_pred_error,auroc,tail_pred_acc,tail_pred_mcc,tail_pred_precision,tail_pred_recall
acs-trim_min-none,0.0,7.547169811320755,71.72413793103448,99.94192799070848,0.81,99.99773324870796,90.68934619426727,0.505399635121176,0.2827586206896552,1.0
acs-trim_min-mode,0.0,3.7735849056603774,57.291666666666664,100.0,0.17,100.0,95.0760968029499,0.6365947420073661,0.4270833333333333,1.0
acs-trim_min-mean,0.0,3.7735849056603774,45.33333333333333,95.47292850291161,0.18,99.69398857557348,96.95613253861666,0.7275938516007654,0.5466666666666666,1.0
acs-truncate_min-none,0.0,20.754716981132077,81.10599078341014,99.94327850255247,0.93,99.99773324870796,84.24350917339325,0.3975366562665206,0.1889400921658986,1.0
acs-truncate_min-mode,0.0,7.547169811320755,67.96875,100.0,0.5,100.0,92.2112800180912,0.5425989558216419,0.3203125,1.0
acs-truncate_min-mean,0.0,7.547169811320755,71.32867132867133,96.06351780356648,0.49,99.64865354973253,90.86839780211449,0.509444939273369,0.2867132867132867,1.0
acs-half_min-none,0.0,26.41509433962264,82.62711864406779,99.94192799070848,0.74,99.99773324870796,82.54252523183823,0.37715315529877785,0.17372881355932204,1.0
acs-half_min-mode,0.0,5.660377358490567,71.32867132867133,97.26211593284764,0.05,99.82092664792819,90.86839780211449,0.509444939273369,0.2867132867132867,1.0
acs-half_min-mean,0.0,1.8867924528301887,44.5945945945946,95.52716068552316,0.07,99.70078882944964,97.04565797001123,0.7328449289875252,0.5540540540540541,1.0
lof,73.17073170731707,64.15094339622641,93.45238095238095,21.514278873187923,1.0,48.48127663432768,83.25872868299484,0.06437652296937844,0.06547619047619048,0.2682926829268293
if,39.02439024390244,5.660377358490567,68.35443037974683,38.83044031327455,1.0,94.32858826729532,93.73321384191513,0.4104312669486495,0.31645569620253167,0.6097560975609756
ocsvm,9.75609756097561,67.9245283018868,93.38103756708408,21.578705511808117,1.0,84.00580288330764,52.90957987308502,0.15693966493796335,0.06618962432915922,0.9024390243902439
dbscan,0.0,100.0,96.3294538943599,51.83527305282005,11.0,50.0,3.6705434322357178,0.0,0.03670546105640107,1.0
dbscan_elbow,0.0,100.0,96.3294538943599,51.83527305282005,0.99,50.0,3.6705434322357178,0.0,0.03670546105640107,1.0
