test_data_name,image_auroc,pixel_auroc
bottle,100.0,98.4022868573305
cable,86.86281859070463,90.0599383135908
capsule,90.2273633825289,98.19336192816664
carpet,83.82825040128411,88.91517947270991
grid,85.21303258145363,81.01842911989505
hazelnut,98.32142857142857,97.19185243533873
leather,100.0,99.28526104593732
metal_nut,98.33822091886609,97.30854165423254
pill,90.0709219858156,96.28224918187577
screw,69.41996310719409,96.53868753652642
tile,99.67532467532467,95.66882106494646
toothbrush,83.61111111111111,87.47353888276608
transistor,33.458333333333336,40.9045497973603
wood,99.12280701754386,94.54723331848291
zipper,96.48109243697479,93.73343339955585
