test_data_name,image_auroc,pixel_auroc
bottle,99.60317460317461,98.19368637285142
cable,81.40929535232382,81.70836259622331
capsule,80.01595532508976,97.2324889786402
carpet,98.51524879614767,99.10437788263195
grid,97.4937343358396,98.76459573696384
hazelnut,77.21428571428571,93.80236631107273
leather,100.0,99.29445354714392
metal_nut,99.90224828934507,98.49339362267932
pill,78.69612656846698,96.01952889237337
screw,97.66345562615291,99.47778089463537
tile,99.0981240981241,95.30613381575023
toothbrush,100.0,98.61109871523375
transistor,96.66666666666667,92.63978201414731
wood,98.15789473684211,94.02743269852202
zipper,99.63235294117648,98.81809689881874
