test_data_name,image_auroc,pixel_auroc
bottle,40.476190476190474,60.35581961151537
cable,99.04422788605697,96.22213248843569
capsule,95.45273234942162,98.73172850268128
carpet,96.86998394863564,98.636037779555
grid,73.09941520467837,24.801707762498403
hazelnut,100.0,92.81480174750628
leather,99.96603260869566,99.29656876171377
metal_nut,55.57184750733137,81.74044055776403
pill,44.08074195308239,80.9144702035517
screw,92.53945480631278,94.51313173477143
tile,98.34054834054835,94.84901204047095
toothbrush,83.33333333333334,87.5966553242854
transistor,59.54166666666666,75.05854023255505
wood,97.63157894736842,94.27566144773485
zipper,24.290966386554622,90.14523567354858
