test_data_name,image_auroc,pixel_auroc
bottle,100.0,98.3675197392718
cable,98.96926536731634,94.78662356029308
capsule,80.53450339050659,97.31290009107826
carpet,99.03691813804173,98.96088406400936
grid,90.05847953216373,83.01821137818507
hazelnut,91.96428571428572,97.1800547837391
leather,100.0,99.25982834729977
metal_nut,99.90224828934507,97.6590333240818
pill,91.62575013638843,95.8573415712412
screw,62.984218077474885,97.05985638441264
tile,98.91774891774891,94.67504200754428
toothbrush,82.77777777777779,95.03363153435285
transistor,99.75,95.03197679738504
wood,95.17543859649122,82.67566546645037
zipper,95.98214285714286,97.6272018970592
