test_data_name,image_auroc,pixel_auroc
bottle,94.68253968253968,95.18633695286857
cable,54.08545727136433,69.70373582377748
capsule,95.13362584762665,98.46181590660873
carpet,95.82664526484751,98.28571826326069
grid,91.56223893065997,89.76417665939171
hazelnut,82.03571428571429,91.17185679125299
leather,100.0,99.3476517707123
metal_nut,47.06744868035191,88.5713300903267
pill,93.97163120567377,96.78136605530005
screw,50.379176060668165,89.72186029309623
tile,98.91774891774892,95.60109752563748
toothbrush,75.55555555555557,93.78881106245794
transistor,41.125,65.69123690996757
wood,98.59649122807016,93.46600806209828
zipper,94.6953781512605,83.4516755759896
