method,ratio_missing_tail,ratio_included_anomaly,ratio_included_head,auprc,class_size_pred_error,auroc,tail_pred_acc,tail_pred_mcc,tail_pred_precision,tail_pred_recall,ratio_missing_tail_std,ratio_included_anomaly_std,ratio_included_head_std,auprc_std,class_size_pred_error_std,auroc_std,tail_pred_acc_std,tail_pred_mcc_std,tail_pred_precision_std,tail_pred_recall_std
acs-trim_min-none,0.0,6.633663366336634,64.13150491369214,93.36363636363636,0.8459999999999999,99.98358238606176,93.28830705140717,0.4421402081970374,0.35868495086307856,1.0,0.0,6.05905001219574,47.13290231000179,9.156580977996732,0.005477225575051676,0.022862294538957998,6.101338903176472,0.4501708319192707,0.4713290231000179,0.0
acs-trim_min-mode,0.0,1.188118811881188,21.606060606060606,93.36363636363636,0.15,99.98358238606177,99.94376643444411,0.8794058691963134,0.7839393939393939,1.0,0.0,1.1396895478436968,20.151401230026586,9.156580977996732,0.0,0.02286229453895399,0.05396221595572295,0.11308061418428317,0.20151401230026583,0.0
acs-trim_min-mean,0.0,0.594059405940594,11.717171717171718,94.14141414141413,0.15,99.98592650232993,99.97189914400224,0.9358119905188573,0.8828282828282827,1.0,0.0,0.8855714762375405,16.805361085321554,8.40268054266078,0.0,0.020983633296482482,0.04189845931617182,0.09281584144669015,0.16805361085321555,0.0
acs-truncate_min-none,0.0,16.29604575364369,98.89002972691219,93.36363636363636,0.946,99.98358238606177,82.75008946657181,0.09556123633102312,0.011099702730878177,1.0,0.0,5.92546095087683,0.26326346911462123,9.156580977996732,0.005477225575051676,0.022862294538947305,6.375566214317053,0.015010242263601639,0.0026326346911462856,0.0
acs-truncate_min-mode,0.0,6.653957321197959,61.05588234506293,93.36363636363636,0.5,99.98358238606177,93.77527638222091,0.5223734362706945,0.38944117654937066,1.0,0.0,6.424404996783848,34.54381652736934,9.156580977996732,0.0,0.022862294538951312,8.727056892807079,0.37980577126977705,0.3454381652736934,0.0
acs-truncate_min-mean,0.0,2.5816370456921467,45.97413766144417,94.14141414141413,0.49800000000000005,99.98592650232993,99.43330479378346,0.6848524363770367,0.5402586233855584,1.0,0.0,2.8854481768637235,38.56910850659128,8.40268054266078,0.004472135954999583,0.02098363329648857,0.7769164112368,0.2965210579259417,0.38569108506591276,0.0
acs-half_min-none,0.0,5.742574257425742,63.456544742185486,94.77777777777779,0.786,99.98827281861335,94.91251574014314,0.46278147179963175,0.3654345525781451,1.0,0.0,5.485899080077255,46.5366470293745,7.281805501249308,0.005477225575051676,0.016587074896008115,5.611335251483083,0.43330845324379347,0.46536647029374495,0.0
acs-half_min-mode,0.0,0.693069306930693,13.272727272727275,94.77777777777779,0.0,99.98827281861335,99.96721859206446,0.9267430790607536,0.8672727272727272,1.0,0.0,0.9650291430503926,18.313161955993465,7.281805501249308,0.0,0.016587074896008743,0.04564963450465196,0.10125519106126843,0.18313161955993465,0.0
acs-half_min-mean,0.0,0.19801980198019803,4.444444444444445,97.77777777777779,0.002,99.99530736743313,99.99063012422994,0.9763420307521493,0.9555555555555555,1.0,0.0,0.44278573811877026,9.938079899999064,4.969039949999536,0.00447213595499958,0.010493045412945093,0.020951679162586292,0.052900827447793806,0.09938079899999068,0.0
lof,0.0,57.872209581206576,98.79809054387029,99.61734693877548,1.0,99.99933025249481,85.1722976565361,0.10100845734609079,0.012019094561297072,1.0,0.0,7.346187761275821,0.1496656704042882,0.8556382566963389,0.0,0.0014976009493617593,0.023743094124852822,0.0062497954485466545,0.0014966567040428527,0.0
lof_norm,0.0,58.819260808068385,98.79809054387029,99.6173469387755,1.0,99.99933025249481,85.1722976565361,0.10100845734609079,0.012019094561297072,1.0,0.0,4.883933901479416,0.1496656704042882,0.8556382566963419,0.0,0.0014976009493687106,0.023743094124852822,0.0062497954485466545,0.0014966567040428527,0.0
if,0.0,7.704938195682923,92.98386024427354,97.59580498866212,1.0,99.9948069822321,96.80239925161004,0.2515095326973544,0.07016139755726455,1.0,0.0,3.1503882767181683,4.254957443723333,2.569270821604514,0.0,0.005815157645211279,1.98548607750734,0.08086072452729495,0.04254957443723333,0.0
if_norm,0.0,12.167763360186951,95.01193755796808,86.51021047094957,1.0,99.94113011602694,94.38731536269188,0.20279067841465404,0.04988062442031913,1.0,0.0,2.8957658106242437,4.276068675253731,13.05774400898972,0.0,0.09012003152766852,3.2760077492944664,0.0938545313101556,0.04276068675253738,0.0
ocsvm,0.0,51.47592398991452,99.63910703141144,61.040369896798666,1.0,96.72813009163501,50.19680917263031,0.04245989859136863,0.0036089296858855457,1.0,0.0,8.427401374565125,0.04501427291351911,23.641409419199828,0.0,2.4366492247525287,0.04808384581383402,0.002636669792095834,0.00045014272913515064,0.0
ocsvm_norm,0.0,57.942315970727506,99.63848720543865,70.8987273072715,1.0,99.04948159692773,50.3326416015625,0.0425542209898631,0.0036151279456135095,1.0,0.0,9.570397079251602,0.04074024404523388,13.494659829284807,0.0,1.1780171680421498,0.7747286416042221,0.002163427829232431,0.0004074024404524109,0.0
dbscan,0.0,100.0,99.81961722003888,50.09019138998057,11.0,50.0,0.18038153648376465,0.0,0.0018038277996112548,1.0,0.0,0.0,0.022453528864581702,0.011226764432294527,0.0,0.0,0.022453825214870524,0.0,0.0002245352886458467,0.0
dbscan_norm,0.0,1.386138613861386,23.564102564102562,88.21794871794872,0.016,99.96714439291232,99.93439655867405,0.8665924854745258,0.7643589743589743,1.0,0.0,1.373706626288278,22.304450103321788,11.152225051660894,0.005477225575051661,0.03256689703245286,0.06502694903521264,0.1274232526803629,0.22304450103321785,0.0
dbscan_elbow,0.0,100.0,99.81961722003888,50.09019138998057,1.0,50.0,0.18038153648376465,0.0,0.0018038277996112548,1.0,0.0,0.0,0.022453528864581702,0.011226764432294527,0.0,0.0,0.022453825214870524,0.0,0.0002245352886458467,0.0
dbscan_elbow_norm,0.0,100.0,99.81961722003888,50.09019138998057,1.0,50.0,0.18038153648376465,0.0,0.0018038277996112548,1.0,0.0,0.0,0.022453528864581702,0.011226764432294527,0.0,0.0,0.022453825214870524,0.0,0.0002245352886458467,0.0
kmeans,60.0,44.439456367997046,99.8242639273833,11.629342591371264,3.934,48.26045017449418,55.54620623588562,-0.003677976016909287,0.001757360726167067,0.4,25.555062599997598,11.491427355246756,0.12180952177799104,13.084112359991606,0.6370478788913752,18.585136617220574,11.16263568821431,0.02593545067375501,0.0012180952177799182,0.25555062599997597
kmeans_norm,60.0,44.439456367997046,99.8242639273833,11.629342591371264,3.934,48.26045017449418,55.54620623588562,-0.003677976016909287,0.001757360726167067,0.4,25.555062599997598,11.491427355246756,0.12180952177799104,13.084112359991606,0.6370478788913752,18.585136617220574,11.16263568821431,0.02593545067375501,0.0012180952177799182,0.25555062599997597
gmm,0.0,100.0,99.81961722003888,50.09019138998057,11.0,50.0,0.18038153648376465,0.0,0.0018038277996112548,1.0,0.0,0.0,0.022453528864581702,0.011226764432294527,0.0,0.0,0.022453825214870524,0.0,0.0002245352886458467,0.0
gmm_norm,0.0,100.0,99.81961722003888,50.09019138998057,11.0,50.0,0.18038153648376465,0.0,0.0018038277996112548,1.0,0.0,0.0,0.022453528864581702,0.011226764432294527,0.0,0.0,0.022453825214870524,0.0,0.0002245352886458467,0.0
kde,20.0,80.0,79.8524021940592,50.09021541328935,1.0,50.01173710537083,20.138141710776836,0.0004388404678462703,0.0014759780594080034,0.8,44.72135954999579,44.72135954999579,44.63885462230125,0.011259659027540217,0.0,0.01607171187873969,44.55239276311719,0.0006009077472907914,0.0008504285970044465,0.4472135954999579
kde_norm,0.0,20.84988623085911,95.14771557005267,79.6664102527305,1.0,99.02646440740693,85.6255909241736,0.1777167842512747,0.048522844299473275,1.0,0.0,16.48206997614473,5.6371197745986334,12.476694792086557,0.0,1.2822770367203244,13.650415657871411,0.13797710624320655,0.0563711977459863,0.0
affprop,37.14285714285714,15.051964823811574,98.44718890080944,37.4975380942937,0.976,74.0232676287613,89.62905459105968,0.0837231869745399,0.015528110991905647,0.6285714285714286,12.777531299998799,11.384000098571185,1.4112272397741785,29.41067525443598,0.06348228099241549,17.674212584294754,5.047250880130105,0.04646335181625434,0.014112272397741784,0.127775312999988
affprop_norm,31.428571428571427,21.858434290634033,98.92532379090567,54.93567426407952,0.9199999999999999,86.46626832713233,88.49508471786976,0.07423523320523104,0.010746762090943338,0.6857142857142857,32.57644071711823,10.672102825540273,0.3061934906014586,35.460008895999486,0.06000000000000001,12.421670509533767,3.902345990195837,0.02952336816119709,0.003061934906014576,0.32576440717118227
knnod,0.0,39.623024414242664,98.19724558144671,99.99999999999997,1.0,100.0,90.17382517457008,0.1272920656379767,0.018027544185532825,1.0,0.0,12.571164210543374,0.22552223683658446,1.4210854715202004e-14,0.0,0.0,0.02902493703439991,0.007916032686054411,0.0022552223683658668,0.0
knnod_norm,0.0,38.16862431584774,98.19724558144671,99.32539682539681,1.0,99.99865924783803,90.17382517457008,0.1272920656379767,0.018027544185532825,1.0,0.0,5.194199128023366,0.22552223683658446,1.508458556249853,0.0,0.0029980129751305553,0.02902493703439991,0.007916032686054411,0.0022552223683658668,0.0
