test_data_name,image_auroc,pixel_auroc
bottle,100.0,98.49203477549786
cable,82.38380809595202,82.63251548883756
capsule,80.41483845233347,96.747836639085
carpet,98.95666131621186,98.6346072866457
grid,79.69924812030075,74.83819213454294
hazelnut,100.0,98.08032809152097
leather,100.0,99.29003968839541
metal_nut,97.3607038123167,94.13290174848382
pill,95.66284779050736,97.51657964708164
screw,52.326296372207416,95.56138563363028
tile,98.8095238095238,95.71324826617779
toothbrush,100.0,98.62678063325569
transistor,92.12500000000001,85.12612417283187
wood,97.71929824561404,87.19058643163629
zipper,94.984243697479,97.61230715685546
