test_data_name,image_auroc,pixel_auroc
bottle,100.0,98.3943724880828
cable,98.80059970014993,94.57030960127659
capsule,75.62824092540885,98.02341954046521
carpet,99.5585874799358,98.9828127714194
grid,87.55221386800334,85.44146706290738
hazelnut,100.0,98.5682030044227
leather,100.0,99.27450068892638
metal_nut,99.90224828934507,90.84227857732063
pill,87.39770867430443,96.30977541795185
screw,60.8526337364214,96.76763693106282
tile,99.24242424242425,95.30758366365129
toothbrush,100.0,98.77146127041836
transistor,94.95833333333333,80.47040412352767
wood,97.01754385964912,82.37394363145272
zipper,97.53151260504201,98.55601355160512
