test_data_name,image_auroc,pixel_auroc
bottle,40.63492063492063,43.34121491961264
cable,51.12443778110944,53.52708201686357
capsule,95.93139210211407,98.88520635832242
carpet,95.90690208667736,96.70106701978013
grid,89.72431077694236,90.53513070192442
hazelnut,83.64285714285715,90.58944022976888
leather,100.0,99.32542194084955
metal_nut,38.02541544477028,69.45299544053205
pill,94.46262956901256,98.04578702591556
screw,54.06845665095307,89.30230473146949
tile,76.76767676767676,60.621537814564476
toothbrush,69.72222222222221,84.647442451141
transistor,38.166666666666664,60.858691953528854
wood,98.6842105263158,93.81337814152127
zipper,95.61449579831933,83.92422223563119
