test_data_name,image_auroc,pixel_auroc
bottle,100.0,98.44511457012163
cable,76.83658170914542,60.1016656098855
capsule,92.381332269645,98.46875048776788
carpet,96.58908507223116,92.84093893318955
grid,80.53467000835421,74.42179558458079
hazelnut,67.17857142857142,46.011941396867
leather,100.0,99.25863812842107
metal_nut,98.43597262952102,97.52583663764074
pill,88.89798145117292,96.05068269007286
screw,74.95388399262144,71.56493830707998
tile,97.94372294372295,95.43742146853448
toothbrush,98.88888888888889,98.59461169476059
transistor,83.125,51.20054620661195
wood,44.03508771929825,52.86603000846682
zipper,90.20483193277312,80.11061226135017
