method,num_missing_anomaly_patch,num_missing_normal_patch,auroc,num_missing_anomaly_patch_std,num_missing_normal_patch_std,auroc_std
lof,531.88,163390.32,93.1944,561.4675947906521,21431.605980265074,4.810536248694111
lof-scs_symmin,398.48,163256.92,96.0176,482.42729331302695,21432.980971546316,2.248746465626278
scs_symmin,346.72,283435.24,86.3328,380.83751128269915,137264.95157155013,5.206012165435908
