test_data_name,image_auroc,pixel_auroc
bottle,99.76190476190476,98.35460386422021
cable,98.93178410794602,96.2133852756173
capsule,63.023534104507384,96.98465259462691
carpet,99.39807383627608,98.79433005661448
grid,76.60818713450293,71.65927874355049
hazelnut,83.85714285714285,96.75080779004517
leather,100.0,99.30963571281119
metal_nut,99.90224828934507,92.3189736112191
pill,87.20676486633931,95.44051645220296
screw,60.237753638040594,96.43421330779394
tile,96.96969696969695,94.49489221116988
toothbrush,81.94444444444444,94.91630562443441
transistor,95.29166666666666,82.14055583932193
wood,97.19298245614034,92.71581778240329
zipper,95.74579831932772,97.61324600696898
