test_data_name,image_auroc,pixel_auroc
bottle,100.0,98.45200746803417
cable,93.74062968515743,89.92020361797007
capsule,90.70602313522139,98.25656670116581
carpet,91.97431781701444,89.0339612487733
grid,96.74185463659148,96.36667418749471
hazelnut,99.46428571428572,98.48326976900557
leather,100.0,99.2669305670455
metal_nut,82.79569892473118,46.08868523537528
pill,85.37915984724495,45.47812508040426
screw,87.62041401926625,98.82130691195296
tile,99.53102453102454,95.70408824977463
toothbrush,99.16666666666667,97.59718391210221
transistor,91.74999999999999,65.43207321360414
wood,99.03508771929825,94.93559010126529
zipper,88.31407563025209,76.07282750109098
