test_data_name,image_auroc,pixel_auroc
bottle,0.9952380952380953,0.9791917462537977
cable,0.9861319340329835,0.9709389663229991
capsule,0.9405664140406861,0.9559330452724651
carpet,0.9747191011235955,0.9896505503561621
grid,0.8437761069340016,0.8268997475850567
hazelnut,1.0,0.9361500672467472
leather,0.998641304347826,0.9930857255257266
metal_nut,0.9002932551319649,0.9484852176864242
pill,0.8960720130932897,0.9595230999464591
screw,0.8143062102889936,0.9385316488087072
tile,0.9927849927849928,0.9430389537565775
toothbrush,1.0,0.9832087775858609
transistor,0.9316666666666666,0.8367457995409329
wood,0.9894736842105263,0.9401587535025004
zipper,0.8876050420168067,0.9650806755063618
