test_data_name,image_auroc,pixel_auroc
bottle,99.68253968253968,98.34792097732056
cable,89.91754122938531,84.63370487505037
capsule,85.68009573195053,97.60128349214827
carpet,99.35794542536117,98.80687789309552
grid,88.97243107769422,77.57333581578484
hazelnut,100.0,94.54990831555635
leather,100.0,99.33172523065005
metal_nut,97.01857282502444,95.2246811790985
pill,89.25259138025096,95.9993647084012
screw,92.7854068456651,95.90161893216984
tile,99.31457431457432,95.08917465870199
toothbrush,81.11111111111111,94.22682489724241
transistor,94.0,90.35243120039436
wood,98.24561403508771,94.02123758439427
zipper,97.32142857142857,93.63460931219092
