test_data_name,image_auroc,pixel_auroc
bottle,98.4126984126984,98.3211801308573
cable,87.81859070464768,82.3229084241388
capsule,95.93139210211407,98.85227681112569
carpet,99.31781701444623,99.10967370485548
grid,96.99248120300751,96.84759917311784
hazelnut,89.74999999999999,97.55801360935648
leather,100.0,99.30312801180406
metal_nut,96.43206256109482,95.74785823074357
pill,95.0354609929078,93.48973297013613
screw,77.49538839926214,96.77144802601934
tile,99.74747474747475,95.58846449144373
toothbrush,89.44444444444444,96.85313814184141
transistor,93.375,89.01117357064
wood,89.21052631578947,89.69604007324217
zipper,97.8203781512605,98.77167174230628
