test_data_name,image_auroc,pixel_auroc
bottle,98.17460317460316,98.42924948865388
cable,99.11919040479759,96.63263048110021
capsule,67.85001994415636,97.18771340909606
carpet,99.438202247191,98.68441891422125
grid,78.44611528822055,75.5289151739689
hazelnut,99.89285714285714,97.96459461682446
leather,100.0,99.23213305681296
metal_nut,99.8533724340176,77.13107504871088
pill,80.60556464811785,94.75720253478231
screw,69.6249231399877,96.18955883630183
tile,98.95382395382396,94.9326963144657
toothbrush,78.61111111111111,95.14235534212149
transistor,99.70833333333333,88.91687609312655
wood,95.7017543859649,89.3702008794064
zipper,95.61449579831933,97.48176657287266
