method,ratio_missing_tail,ratio_included_anomaly,ratio_included_head,auroc,class_size_pred_error,tail_pred_acc,ratio_missing_tail_std,ratio_included_anomaly_std,ratio_included_head_std,auroc_std,class_size_pred_error_std,tail_pred_acc_std
lof,12.63888888888889,64.52769519757588,87.61708579016118,92.71224291793139,1.0,86.57905042171478,13.711587611498905,6.306884280201867,2.332407440224599,8.207297015008859,0.0,0.6248512256179591
scs_symmin,0.0,2.0053738476522684,7.383033040927778,99.83625897194095,0.0465,99.82237968593836,0.0,1.6086526525388152,5.338938189012954,0.1299327969287298,0.02758241239783443,0.1423011676996484
scs_indep,6.111111111111111,0.48337731318942667,1.87010737010737,99.91522492072981,0.04,99.82943547365721,7.62591934614733,0.8382765617265217,3.1936738127832562,0.1455443968822386,0.04611199181854634,0.15863283119854338
if,12.36111111111111,15.639779182113097,61.70456512663678,98.46921962769103,1.0,96.2746492633596,7.008476720295315,5.924481158781044,12.589311316935401,1.1062846278537053,0.0,1.7434466050190625
ocsvm,6.249999999999999,54.72946332621099,96.01513898583639,90.07826599194246,1.0,51.85056731104851,5.619153520753687,5.763446399407105,0.42515554761913305,4.562571397562285,0.0,0.3279415314367949
dbscan,0.0,100.0,97.8754188036427,50.0,14.0,2.1245813369750977,0.0,0.0,0.17041775838210604,0.0,0.0,0.1704188102780784
dbscan_tunned,100.0,0.0,0.0,50.0,0.037,97.87541881203651,0.0,0.0,0.0,0.0,0.10047780587614466,0.17041776187674695
dbscan_tunned_elbow,2.2222222222222223,0.8401827712216962,3.2629061299679742,99.74708255122029,0.037,99.8767950385809,5.812759597562188,0.9999375844091365,3.7286854552294098,0.5804224678481478,0.10047780587614466,0.14508066786266102
dbscan_adaptive,100.0,0.0,0.0,50.0,0.47050000000000003,97.87541881203651,0.0,0.0,0.0,0.0,1.0389998986880047,0.17041776187674695
dbscan_adaptive_elbow,10.555555555555554,1.3488658041833086,6.01651311824132,96.54430065437337,0.47050000000000003,98.79998141841497,13.715289344136066,4.329250399575945,20.361998959449387,4.686246593762339,1.0389998986880047,4.290720700245925
kmeans,97.5,16.115877954955568,99.69919246544661,36.421985268242445,6.4174999999999995,81.6936568915844,4.586544152677206,4.467732857198527,0.5841249825236946,9.159943471547429,1.239770246117358,4.117948168113665
gmm,0.0,100.0,97.8754188036427,50.0,14.0,2.1245813369750977,0.0,0.0,0.17041775838210604,0.0,0.0,0.1704188102780784
kde,100.0,0.0,0.0,99.44441304055108,1.0,97.87541881203651,0.0,0.0,0.0,0.8972996020860778,0.0,0.17041776187674695
affprop,0.1388888888888889,51.945661597972524,89.82932654908271,98.98992474143793,0.6665,55.81243769149296,0.6211299937499416,26.5782972309069,20.22972563318186,3.4423100547977397,0.07485248651075063,22.139101392279624
