test_data_name,image_auroc,pixel_auroc
candle,95.30999999999999,99.20146739773192
capsules,54.68333333333333,95.74098036965803
cashew,96.27999999999999,98.50541907381881
chewinggum,98.5,99.14588296277621
fryum,94.17999999999999,92.31624765294865
macaroni1,77.87,99.09595691382603
macaroni2,66.9,95.95723613046123
pcb1,81.82000000000001,98.28877616797922
pcb2,89.86999999999999,98.03540957527639
pcb3,96.4059405940594,99.1492638726474
pcb4,99.7128712871287,98.18613080066848
pipe_fryum,98.44,98.75259450296124
