test_data_name,image_auroc,pixel_auroc
bottle,100.0,98.36578704095089
cable,89.14917541229387,89.68287945500289
capsule,92.58077383326686,98.60121173661015
carpet,98.63563402889245,99.04111362296527
grid,69.50710108604845,67.43966302425153
hazelnut,96.53571428571428,96.75906491173173
leather,100.0,99.31760450222352
metal_nut,87.8299120234604,74.59483246692294
pill,86.52482269503547,94.26455796784819
screw,85.57081369133019,90.8590637726303
tile,99.06204906204906,95.7458444814042
toothbrush,90.0,88.50135690612504
transistor,99.20833333333333,93.28281630181444
wood,78.7719298245614,86.0019163058127
zipper,92.51575630252101,88.83754070714038
