method,ratio_missing_tail,ratio_included_anomaly,ratio_included_head,auroc,class_size_pred_error,tail_pred_acc,ratio_missing_tail_std,ratio_included_anomaly_std,ratio_included_head_std,auroc_std,class_size_pred_error_std,tail_pred_acc_std
lof,30.537373737373738,62.944189955815276,91.5331558223028,79.05444096051151,1.0,85.02778345346451,31.1949916492406,7.428592128493794,3.927891988013252,23.580045696940374,0.0,1.5481169872978455
scs_symmin,0.0,6.748125037829391,30.12536888872905,99.82342587790833,0.0632,95.27001959085464,0.0,9.386338982856751,30.054816296659222,0.22977895637797816,0.02672701504720146,8.761353211629157
scs_indep,2.812121212121212,3.609288422280548,22.82544308124018,99.63450122239736,0.045599999999999995,96.96482071746141,4.785619379092615,5.250659974293915,30.20376024234076,0.8857337271489537,0.04388241865105736,4.783097117892803
if,14.622222222222222,13.854138122671772,70.7548932030117,2.4372900078312063,1.0,94.41723987460136,12.428767892790386,4.860325674708221,18.73143648095051,1.3473923309835594,0.0,1.6657992173044511
ocsvm,2.9878787878787874,54.162052856600475,95.13328596387215,9.519592722307031,1.0,52.35804617404938,4.052136794847384,5.856428143613564,3.2380518387891826,4.9303251814199545,0.0,1.6003837611005456
dbscan,0.0,100.0,97.49752095217954,50.0,14.0,2.502479314804077,0.0,0.0,1.6465537940046264,0.0,0.0,1.646555104258336
dbscan_tunned,100.0,0.0,0.0,50.0,0.048799999999999996,97.4975209608674,0.0,0.0,0.0,0.0,0.12101377332078088,1.646553789182926
dbscan_tunned_elbow,1.7777777777777777,3.818180942790956,23.733810336635038,99.64352826845898,0.048799999999999996,97.09998524049297,5.250906251391787,5.203241668954381,29.609991901631233,0.9207930763969523,0.12101377332078088,4.166436354434815
dbscan_adaptive,100.0,0.0,0.0,50.0,0.35840000000000005,97.4975209608674,0.0,0.0,0.0,0.0,0.7194423766594051,1.646553789182926
dbscan_adaptive_elbow,6.86060606060606,4.812992125984252,29.128796016704158,96.02583557809538,0.35840000000000005,95.32418173528276,10.004501928508663,6.65288289413546,36.252987866051484,6.462465870382221,0.7194423766594051,6.540374333988167
kmeans,87.55555555555554,18.332703302024353,97.3838650177092,40.31230017912376,5.17,79.60522055625916,27.072968396430092,5.447101389509078,6.251988756860861,17.045630672629557,1.074771293500777,4.487890290254876
gmm,0.0,100.0,97.49752095217954,50.0,14.0,2.502479314804077,0.0,0.0,1.6465537940046264,0.0,0.0,1.646555104258336
kde,100.0,0.0,0.0,52.4214648258149,1.0,97.4975209608674,0.0,0.0,0.0,3.356198839523799,0.0,1.646553789182926
affprop,5.333333333333332,53.14799820619906,94.19122316948169,92.05430451724474,0.7143999999999999,52.15473943948746,13.653561919382785,17.17525384782118,4.577682550992711,13.525047212632613,0.23409542213949142,18.032392695619343
