test_data_name,image_auroc,pixel_auroc
bottle,100.0,98.21606799661767
cable,98.83808095952024,94.78689442032629
capsule,95.01396090945353,97.66549038211573
carpet,99.31781701444623,99.11751447142699
grid,90.39264828738513,86.13835761383972
hazelnut,100.0,98.62724539825295
leather,100.0,99.25948706871412
metal_nut,50.9286412512219,74.12096789866442
pill,88.05237315875614,96.3001857647707
screw,77.59786841565895,98.30213133077838
tile,99.35064935064935,95.17001501218026
toothbrush,89.16666666666667,96.87792083126932
transistor,95.83333333333334,90.29816936175683
wood,97.63157894736842,85.40625414503165
zipper,96.13970588235294,94.60780953090504
