test_data_name,image_auroc,pixel_auroc
bottle,91.11111111111111,89.80069524047899
cable,87.05022488755623,72.15654522192843
capsule,92.97965696051057,98.47363050533947
carpet,98.27447833065811,99.0046286807371
grid,77.44360902255639,68.30329721370882
hazelnut,72.85714285714285,82.87007352291911
leather,87.90760869565217,94.50113159939418
metal_nut,91.544477028348,95.70318852334059
pill,87.31587561374795,96.17017767432712
screw,85.673293707727,88.9083152986483
tile,99.45887445887446,95.36113167038435
toothbrush,90.55555555555554,97.89383266871121
transistor,73.20833333333333,75.73663536562188
wood,99.12280701754386,94.70057464340913
zipper,94.06512605042016,98.06498238999207
