test_data_name,image_auroc,pixel_auroc
bottle,99.60317460317461,98.44721087545146
cable,99.28785607196401,89.53368894678823
capsule,68.80733944954129,97.27276270134686
carpet,98.95666131621188,99.0666937595931
grid,88.97243107769424,83.86196813819483
hazelnut,100.0,98.46247815532581
leather,100.0,99.28284461161158
metal_nut,99.90224828934507,90.66383609451353
pill,89.57992362247681,95.85905012829583
screw,67.96474687435949,97.682711961346
tile,98.98989898989899,95.25714524887434
toothbrush,86.66666666666667,96.68678595228761
transistor,94.95833333333333,81.01398388706478
wood,90.43859649122807,85.32031216538537
zipper,96.13970588235294,98.3382167935938
