test_data_name,image_auroc,pixel_auroc
bottle,99.12698412698413,98.35984423366644
cable,98.08845577211395,81.27460173957137
capsule,95.7718388512166,98.72633908808692
carpet,98.79614767255217,99.11722411095434
grid,92.14703425229742,89.96378433152313
hazelnut,92.71428571428572,66.55965040935232
leather,100.0,99.28792241876965
metal_nut,94.4770283479961,94.7057842728087
pill,95.74468085106382,97.87799204203169
screw,90.18241442918631,93.13057164673182
tile,98.88167388167388,95.29982018506786
toothbrush,86.11111111111111,94.881972659813
transistor,94.75,89.06148485886345
wood,99.03508771929825,93.82673008376814
zipper,95.40441176470587,98.15429957552085
