test_data_name,image_auroc,pixel_auroc
bottle,86.74603174603175,91.42732793430365
cable,53.80434782608695,72.80622760127108
capsule,40.64619066613482,92.61017523483565
carpet,98.75601926163723,99.05980580824824
grid,97.99498746867168,98.75055206511753
hazelnut,81.03571428571429,95.02873865903253
leather,100.0,99.29789239522285
metal_nut,92.47311827956989,97.61611993488575
pill,92.52591380250955,96.89043965978394
screw,47.75568764091002,92.42750298727051
tile,99.81962481962483,95.44166302540108
toothbrush,99.44444444444444,98.55102829470832
transistor,99.54166666666666,95.36243522558566
wood,98.68421052631578,93.6378085605488
zipper,96.84873949579831,98.20449624391576
